                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3449,                 2.6072,                 2.0129,                0.00108,                0.02977,                 0.0006,                0.00015,                 2.7865,                    inf,                 3.6898,             0.00035007,             0.00035007,             0.00035007
                      1,                 2.0207,                 1.4774,                 1.7134,                0.00201,                0.02388,                 0.0008,                0.00023,                 4.5317,                 83.873,                 28.414,             0.00070572,             0.00070572,             0.00070572
                      2,                 1.9843,                 1.3918,                 1.7504,                  1e-05,                0.00048,                  1e-05,                      0,                    nan,                    nan,                    nan,                0.00105,                0.00105,                0.00105
                      3,                 1.9664,                 1.3837,                 1.7448,                0.21017,                0.26246,                0.16909,                0.05069,                    nan,                    nan,                    nan,               0.001383,               0.001383,               0.001383
                      4,                 1.9901,                 1.2974,                 1.7542,                0.03018,                0.12039,                0.01511,                0.00513,                 3.3327,                 13.439,                 5.1621,              0.0015639,              0.0015639,              0.0015639
                      5,                 1.9754,                 1.2993,                 1.7806,                0.10953,                0.02444,                0.01834,                0.00596,                 4.4993,                 3.9749,                 5.5021,              0.0015639,              0.0015639,              0.0015639
                      6,                 1.9176,                 1.2301,                 1.7372,                0.36817,                0.35694,                0.30848,                0.10219,                 2.6103,                 2.1644,                 2.9934,              0.0015381,              0.0015381,              0.0015381
                      7,                 1.8791,                 1.2028,                 1.7336,                0.51309,                0.39595,                0.41079,                0.13438,                 2.3248,                 1.8546,                 2.6138,              0.0015123,              0.0015123,              0.0015123
                      8,                 1.8851,                 1.1438,                 1.7232,                0.55448,                0.52361,                0.54035,                0.19075,                 2.1173,                 1.7298,                 2.3055,              0.0014865,              0.0014865,              0.0014865
                      9,                 1.8799,                   1.15,                 1.7047,                 0.4586,                0.40725,                0.41836,                0.16195,                 2.1976,                 1.4705,                 2.3454,              0.0014607,              0.0014607,              0.0014607
                     10,                 1.8823,                 1.1371,                 1.7112,                0.48553,                0.47691,                0.47227,                 0.1843,                 2.1408,                  1.772,                 2.3188,              0.0014349,              0.0014349,              0.0014349
                     11,                 1.8537,                 1.1233,                 1.6751,                0.52522,                0.56408,                0.55049,                0.21025,                 2.0886,                 1.7712,                 2.3008,              0.0014091,              0.0014091,              0.0014091
                     12,                 1.8397,                 1.0716,                 1.6774,                0.52075,                0.48016,                0.46771,                0.16957,                 2.1208,                 1.6103,                 2.2601,              0.0013833,              0.0013833,              0.0013833
                     13,                 1.8241,                 1.0364,                 1.6712,                0.53315,                0.43133,                0.44226,                 0.1765,                  2.135,                 1.5147,                 2.2695,              0.0013576,              0.0013576,              0.0013576
                     14,                 1.8074,                 1.0231,                 1.6595,                0.68703,                0.39592,                0.46247,                0.18765,                 2.1265,                 1.5201,                 2.2458,              0.0013318,              0.0013318,              0.0013318
                     15,                 1.8366,                  1.068,                 1.6808,                0.62128,                0.47385,                0.52243,                0.21188,                 2.1415,                 1.2115,                 2.2878,               0.001306,               0.001306,               0.001306
                     16,                 1.8147,                  1.064,                  1.702,                0.54139,                0.55981,                0.52732,                0.21477,                 2.1073,                 1.2956,                 2.2563,              0.0012802,              0.0012802,              0.0012802
                     17,                 1.7895,                  1.031,                 1.6463,                0.69207,                0.50182,                0.56916,                0.22114,                 2.1105,                 1.3251,                 2.2738,              0.0012544,              0.0012544,              0.0012544
                     18,                 1.7771,                 1.0035,                 1.6514,                0.63698,                0.53809,                0.54367,                0.22428,                 2.0519,                 1.3914,                 2.1991,              0.0012286,              0.0012286,              0.0012286
                     19,                 1.7615,                 1.0037,                 1.6397,                0.48236,                0.59667,                0.52835,                0.20714,                 2.1478,                 1.2684,                 2.2818,              0.0012028,              0.0012028,              0.0012028
                     20,                 1.7831,                0.99587,                 1.6519,                 0.6269,                0.57694,                0.59678,                0.23023,                 2.0857,                 1.2049,                 2.2381,              0.0011771,              0.0011771,              0.0011771
                     21,                 1.7628,                0.97169,                 1.6291,                0.47679,                0.58306,                0.54533,                 0.2085,                 2.1114,                 1.2583,                 2.2349,              0.0011513,              0.0011513,              0.0011513
                     22,                 1.7521,                0.94415,                 1.6271,                0.68358,                0.46752,                0.53862,                0.21597,                 2.0996,                 1.2192,                 2.2256,              0.0011255,              0.0011255,              0.0011255
                     23,                 1.7316,                0.94236,                 1.6084,                0.57389,                0.57407,                0.59691,                 0.2417,                 2.0438,                 1.1734,                 2.2032,              0.0010997,              0.0010997,              0.0010997
                     24,                 1.7544,                0.95633,                 1.6425,                0.65145,                0.48881,                0.56945,                0.22788,                 2.0767,                 1.3023,                 2.2211,              0.0010739,              0.0010739,              0.0010739
                     25,                 1.7331,                0.97494,                  1.612,                0.59667,                0.51599,                0.52641,                0.20709,                 2.1639,                 1.2839,                 2.3184,              0.0010481,              0.0010481,              0.0010481
                     26,                  1.751,                0.93401,                 1.6501,                0.60797,                0.62976,                0.61436,                0.23777,                 2.0865,                 1.1738,                 2.2554,              0.0010223,              0.0010223,              0.0010223
                     27,                 1.7199,                0.90032,                 1.5787,                0.73425,                0.61703,                0.66441,                0.25626,                 2.1758,                  1.166,                 2.3203,             0.00099655,             0.00099655,             0.00099655
                     28,                 1.7137,                0.90181,                 1.6306,                0.61861,                0.55481,                0.59762,                0.23309,                 2.0838,                 1.3639,                  2.237,             0.00097077,             0.00097077,             0.00097077
                     29,                 1.7178,                0.89902,                 1.5989,                0.61778,                0.48427,                0.55603,                0.20294,                 2.2066,                 1.3867,                 2.4036,             0.00094498,             0.00094498,             0.00094498
                     30,                 1.7037,                0.90193,                 1.6003,                0.64443,                0.56425,                0.60333,                0.22428,                 2.1316,                 1.3049,                 2.2972,             0.00091919,             0.00091919,             0.00091919
                     31,                  1.703,                0.88615,                 1.6039,                0.52817,                0.60553,                0.56035,                0.22991,                 2.0709,                 1.2285,                 2.2159,             0.00089341,             0.00089341,             0.00089341
                     32,                 1.7089,                0.88856,                 1.6069,                0.57195,                0.58254,                0.61114,                0.25246,                 2.0577,                 1.1563,                 2.2228,             0.00086762,             0.00086762,             0.00086762
                     33,                 1.6884,                 0.8808,                  1.589,                0.68563,                0.54594,                0.62336,                 0.2458,                 2.1021,                 1.1643,                 2.2405,             0.00084184,             0.00084184,             0.00084184
                     34,                 1.6945,                0.86623,                 1.6131,                0.62354,                0.49955,                0.55179,                0.22077,                 2.0794,                 1.3687,                 2.2096,             0.00081605,             0.00081605,             0.00081605
                     35,                 1.6915,                0.86512,                 1.6014,                0.67759,                 0.5123,                0.61604,                 0.2441,                 2.0641,                  1.277,                 2.2088,             0.00079026,             0.00079026,             0.00079026
                     36,                 1.6523,                0.85375,                 1.5566,                0.80753,                0.46533,                0.61407,                0.23905,                 2.1009,                  1.205,                 2.2576,             0.00076448,             0.00076448,             0.00076448
                     37,                 1.6503,                0.85217,                 1.5704,                0.57801,                0.55903,                0.57891,                0.22479,                 2.0697,                 1.2868,                 2.2348,             0.00073869,             0.00073869,             0.00073869
                     38,                 1.6451,                0.82678,                 1.5621,                0.59512,                 0.5548,                0.58799,                0.23919,                 2.0633,                 1.1636,                 2.2186,              0.0007129,              0.0007129,              0.0007129
                     39,                 1.6773,                0.86983,                 1.6096,                 0.6268,                0.49312,                0.57742,                0.23277,                 2.1631,                 1.3358,                 2.3203,             0.00068712,             0.00068712,             0.00068712
                     40,                 1.6254,                0.82537,                 1.5711,                0.68405,                0.50123,                0.56773,                0.23912,                 2.1498,                 1.3569,                 2.2778,             0.00066133,             0.00066133,             0.00066133
                     41,                  1.625,                0.81657,                  1.532,                0.64291,                0.57439,                0.63722,                0.24738,                 2.1453,                 1.2008,                 2.3007,             0.00063554,             0.00063554,             0.00063554
                     42,                 1.6108,                0.79333,                 1.5679,                0.57821,                0.59145,                0.56562,                0.22489,                 2.1427,                 1.2479,                 2.2669,             0.00060976,             0.00060976,             0.00060976
                     43,                 1.6205,                0.80876,                 1.5255,                0.63718,                0.60393,                0.65235,                0.25418,                 2.1093,                 1.1203,                 2.2697,             0.00058397,             0.00058397,             0.00058397
                     44,                 1.6211,                0.78712,                 1.5547,                0.59758,                0.58187,                0.61305,                0.24158,                 2.1644,                 1.3419,                 2.2911,             0.00055818,             0.00055818,             0.00055818
                     45,                 1.6218,                 0.7983,                 1.5309,                0.57049,                0.58649,                0.58661,                0.24022,                 2.0816,                 1.1741,                 2.2353,              0.0005324,              0.0005324,              0.0005324
                     46,                 1.5931,                0.78185,                 1.5251,                0.66355,                 0.5964,                0.64455,                  0.259,                 2.0584,                 1.1006,                 2.2101,             0.00050661,             0.00050661,             0.00050661
                     47,                 1.5943,                0.78389,                 1.5097,                0.69064,                0.56648,                0.64322,                0.26815,                  2.084,                  1.109,                 2.2364,             0.00048083,             0.00048083,             0.00048083
                     48,                 1.5631,                0.76522,                 1.5041,                 0.6324,                0.56961,                0.64003,                 0.2588,                  2.129,                 1.2229,                 2.2809,             0.00045504,             0.00045504,             0.00045504
                     49,                 1.5738,                 0.7586,                 1.5273,                0.65163,                0.56528,                0.63458,                0.24648,                 2.1245,                 1.2973,                 2.2895,             0.00042925,             0.00042925,             0.00042925
                     50,                 1.5895,                0.77284,                 1.5281,                0.69241,                0.54162,                0.65402,                0.26429,                 2.0699,                 1.1481,                 2.2547,             0.00040347,             0.00040347,             0.00040347
                     51,                 1.5771,                0.76693,                 1.5158,                0.62759,                0.53706,                0.62465,                0.26167,                 2.0652,                 1.1736,                  2.247,             0.00037768,             0.00037768,             0.00037768
                     52,                 1.5845,                0.76855,                 1.5443,                0.73127,                0.57548,                0.69382,                0.28494,                 2.0524,                  1.055,                 2.2371,             0.00035189,             0.00035189,             0.00035189
                     53,                 1.5528,                0.75207,                 1.4771,                0.68584,                0.59162,                0.66361,                0.26569,                 2.0782,                 1.2119,                 2.2436,             0.00032611,             0.00032611,             0.00032611
                     54,                 1.5869,                0.76545,                 1.6147,                0.67862,                0.55844,                0.63592,                0.24298,                  2.122,                 1.2554,                 2.2904,             0.00030032,             0.00030032,             0.00030032
                     55,                 1.5646,                 0.7405,                 1.6323,                0.68962,                 0.5954,                0.65532,                0.26138,                 2.1252,                 1.1402,                 2.2738,             0.00027453,             0.00027453,             0.00027453
                     56,                 1.5404,                0.72607,                 1.6235,                0.74364,                0.58745,                0.69696,                0.28229,                 2.0835,                 1.0744,                 2.2447,             0.00024875,             0.00024875,             0.00024875
                     57,                  1.518,                0.69851,                 1.5774,                0.73318,                0.56589,                0.67237,                0.27681,                 2.0673,                 1.1368,                 2.2443,             0.00022296,             0.00022296,             0.00022296
                     58,                 1.5118,                0.69481,                  1.594,                0.64135,                0.60237,                0.64535,                0.27323,                 2.0505,                 1.1199,                  2.226,             0.00019717,             0.00019717,             0.00019717
                     59,                 1.5102,                0.70448,                 1.5938,                0.69692,                0.64257,                0.69181,                0.27593,                 2.0829,                 1.0695,                 2.2586,             0.00017139,             0.00017139,             0.00017139
                     60,                 1.5071,                 0.6867,                 1.5768,                0.69198,                0.64162,                0.70455,                0.28725,                 2.0656,                 1.0648,                 2.2423,              0.0001456,              0.0001456,              0.0001456
                     61,                 1.4931,                0.68759,                 1.5846,                 0.7118,                0.59004,                0.68731,                0.27298,                 2.0808,                 1.0951,                 2.2624,             0.00011982,             0.00011982,             0.00011982
                     62,                 1.4908,                0.68948,                 1.6041,                0.79976,                0.55377,                0.68539,                0.28308,                  2.069,                 1.1324,                 2.2456,             9.4029e-05,             9.4029e-05,             9.4029e-05
                     63,                 1.4806,                0.68053,                 1.5958,                 0.7493,                0.57775,                0.70137,                0.28773,                 2.0625,                 1.0955,                 2.2418,             6.8243e-05,             6.8243e-05,             6.8243e-05
