                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3754,                 2.9555,                 2.0293,                0.01231,                0.34452,                 0.0112,                0.00482,                    nan,                    nan,                    nan,             0.00035007,             0.00035007,             0.00035007
                      1,                 2.0078,                 1.5176,                 1.6931,                  8e-05,                0.00143,                  3e-05,                      0,                    nan,                    nan,                    nan,             0.00070572,             0.00070572,             0.00070572
                      2,                 1.9917,                 1.4015,                  1.768,                0.00142,                0.00143,                0.00073,                0.00012,                    nan,                    nan,                    nan,                0.00105,                0.00105,                0.00105
                      3,                 1.9949,                 1.3901,                 1.7488,                0.00082,                0.01003,                0.00042,                0.00014,                    nan,                    nan,                    nan,               0.001383,               0.001383,               0.001383
                      4,                 1.9566,                 1.3262,                 1.7031,                0.61164,                0.17861,                0.11341,                0.03641,                 2.6177,                 6.7467,                 2.5736,              0.0015639,              0.0015639,              0.0015639
                      5,                  1.955,                  1.362,                 1.7202,                0.14334,                0.32144,                0.13542,                0.04524,                 2.2633,                 4.6534,                 2.3625,              0.0015639,              0.0015639,              0.0015639
                      6,                 1.9055,                 1.2309,                 1.6953,                0.39902,                0.39138,                0.34824,                0.13137,                 2.2564,                 2.4225,                 2.4131,              0.0015381,              0.0015381,              0.0015381
                      7,                 1.8851,                 1.1877,                 1.7055,                0.39737,                0.33652,                0.34314,                0.13222,                  2.271,                 2.4725,                 2.4283,              0.0015123,              0.0015123,              0.0015123
                      8,                 1.8716,                  1.152,                 1.6894,                0.56822,                0.42657,                0.43959,                0.15822,                 2.3334,                 2.1741,                 2.4712,              0.0014865,              0.0014865,              0.0014865
                      9,                 1.8777,                 1.1698,                 1.6921,                0.49975,                0.41437,                0.42977,                0.16938,                 2.1226,                 1.6203,                 2.2674,              0.0014607,              0.0014607,              0.0014607
                     10,                  1.862,                 1.1241,                 1.6764,                0.44504,                0.49899,                0.45667,                0.17125,                 2.1636,                 1.5779,                 2.2816,              0.0014349,              0.0014349,              0.0014349
                     11,                 1.8344,                 1.0996,                 1.6371,                0.15409,                0.50797,                0.11838,                0.03834,                 2.3287,                 2.6033,                  2.424,              0.0014091,              0.0014091,              0.0014091
                     12,                 1.7997,                 1.0609,                  1.628,                0.54063,                0.53251,                 0.5396,                0.19337,                 2.1922,                 1.4493,                 2.3371,              0.0013833,              0.0013833,              0.0013833
                     13,                 1.7994,                 1.0253,                 1.6443,                0.69788,                0.40358,                0.48367,                0.19497,                 2.0867,                 1.2965,                 2.1908,              0.0013576,              0.0013576,              0.0013576
                     14,                 1.8005,                 1.0583,                 1.6348,                0.59756,                0.47826,                0.53275,                0.20382,                 2.1321,                 1.4659,                 2.2156,              0.0013318,              0.0013318,              0.0013318
                     15,                 1.8015,                 1.0557,                  1.637,                0.60227,                0.42765,                0.49376,                0.19217,                 2.1426,                 1.3729,                 2.2211,               0.001306,               0.001306,               0.001306
                     16,                 1.8069,                 1.0662,                 1.6688,                0.71128,                0.46436,                0.52386,                0.20829,                 2.0942,                 1.2806,                 2.1713,              0.0012802,              0.0012802,              0.0012802
                     17,                 1.7972,                 1.0377,                 1.6207,                0.43798,                0.52618,                0.51966,                0.20585,                 2.0582,                  1.255,                 2.1411,              0.0012544,              0.0012544,              0.0012544
                     18,                 1.7615,                0.99061,                 1.6197,                0.60357,                0.45939,                0.50178,                0.20382,                 2.1243,                 1.3673,                 2.2199,              0.0012286,              0.0012286,              0.0012286
                     19,                 1.7635,                0.98694,                 1.6233,                0.72657,                0.48374,                0.56097,                 0.2297,                 2.0726,                 1.2683,                 2.1617,              0.0012028,              0.0012028,              0.0012028
                     20,                  1.761,                0.96813,                 1.6199,                0.60022,                0.52666,                0.54674,                0.22034,                  2.147,                 1.3399,                 2.2304,              0.0011771,              0.0011771,              0.0011771
                     21,                 1.7527,                0.97194,                  1.603,                0.53027,                  0.636,                0.57531,                0.21994,                 2.0987,                 1.2443,                 2.2037,              0.0011513,              0.0011513,              0.0011513
                     22,                 1.7506,                0.95273,                 1.6097,                 0.5866,                0.58918,                0.59955,                0.23991,                 2.0733,                 1.2879,                 2.1801,              0.0011255,              0.0011255,              0.0011255
                     23,                 1.7208,                0.93506,                 1.5888,                0.61749,                 0.4785,                0.54069,                 0.2285,                 2.0861,                 1.2106,                 2.2026,              0.0010997,              0.0010997,              0.0010997
                     24,                 1.7666,                0.98962,                 1.6347,                0.60834,                0.60249,                0.59386,                0.22928,                 2.1286,                 1.2334,                 2.2321,              0.0010739,              0.0010739,              0.0010739
                     25,                 1.7322,                0.95905,                 1.5946,                0.52195,                0.58513,                0.54603,                0.21997,                 2.1174,                 1.2528,                  2.209,              0.0010481,              0.0010481,              0.0010481
                     26,                 1.7278,                  0.931,                 1.6185,                0.60761,                0.59916,                0.59645,                0.23529,                 2.0951,                 1.1923,                 2.2045,              0.0010223,              0.0010223,              0.0010223
                     27,                  1.696,                0.88903,                 1.5495,                0.60964,                0.50306,                0.56328,                0.21225,                 2.1958,                 1.3124,                 2.2951,             0.00099655,             0.00099655,             0.00099655
                     28,                 1.6861,                0.90123,                 1.5971,                0.68349,                0.60548,                0.62479,                0.25264,                 2.1148,                 1.1927,                 2.2142,             0.00097077,             0.00097077,             0.00097077
                     29,                 1.7061,                0.90291,                 1.5777,                0.58212,                0.56455,                0.58653,                0.22531,                 2.1291,                 1.1957,                 2.2539,             0.00094498,             0.00094498,             0.00094498
                     30,                 1.6991,                0.90171,                 1.5808,                0.56474,                 0.5447,                0.57827,                0.23825,                 2.1065,                 1.2386,                 2.1992,             0.00091919,             0.00091919,             0.00091919
                     31,                 1.7008,                0.89117,                 1.5859,                0.64479,                0.43947,                0.52481,                0.21312,                 2.0779,                 1.4246,                 2.1822,             0.00089341,             0.00089341,             0.00089341
                     32,                 1.6901,                0.87879,                 1.5843,                0.74743,                0.58302,                0.66999,                0.26942,                 2.0553,                 1.1216,                  2.177,             0.00086762,             0.00086762,             0.00086762
                     33,                  1.674,                0.87682,                 1.5683,                0.72855,                0.65798,                0.73269,                0.29126,                 2.0642,                 1.1976,                 2.1831,             0.00084184,             0.00084184,             0.00084184
                     34,                 1.6721,                0.87275,                  1.585,                 0.6537,                0.56909,                0.63142,                0.24654,                 2.0676,                 1.2111,                 2.1898,             0.00081605,             0.00081605,             0.00081605
                     35,                 1.6893,                0.87063,                  1.583,                0.51761,                0.54931,                 0.5265,                0.20787,                 2.1009,                 1.3095,                 2.2085,             0.00079026,             0.00079026,             0.00079026
                     36,                 1.6455,                0.85368,                 1.5408,                0.67208,                0.51577,                0.55389,                0.21855,                 2.1303,                 1.3704,                 2.2533,             0.00076448,             0.00076448,             0.00076448
                     37,                 1.6397,                0.84046,                 1.5503,                0.62174,                0.52567,                0.56212,                0.23364,                 2.0734,                  1.306,                 2.1812,             0.00073869,             0.00073869,             0.00073869
                     38,                 1.6297,                0.82096,                 1.5403,                0.61821,                0.65282,                 0.6239,                0.25592,                 2.0561,                 1.1196,                 2.1767,              0.0007129,              0.0007129,              0.0007129
                     39,                  1.663,                0.85356,                 1.5888,                0.57281,                0.53836,                0.57239,                 0.2313,                 2.1595,                 1.3639,                 2.2545,             0.00068712,             0.00068712,             0.00068712
                     40,                 1.6106,                0.80703,                 1.5543,                0.69579,                 0.5597,                0.66493,                0.27442,                 2.1035,                  1.197,                 2.2521,             0.00066133,             0.00066133,             0.00066133
