Image,Point,Latitude,Longitude,Object Type,Coordinates,Probability,Bounding Box Center,Normalized Bounding Box Center
/content/tif_images/image_691.tif,18,36.201565429,36.140339466,collapsed,"[357.48516845703125, 546.434814453125, 420.86602783203125, 623.014892578125]",0.346377283334732,"[389.17559814453125, 584.724853515625]","[0.6080868721008301, 0.913632583618164]"
/content/tif_images/image_668.tif,21,36.203875251,36.148331067,collapsed,"[169.375732421875, 416.53802490234375, 251.21798706054688, 495.095703125]",0.5461550354957581,"[210.29685974121094, 455.8168640136719]","[0.3285888433456421, 0.7122138500213623]"
/content/tif_images/image_501.tif,10,36.214312657,36.136493793,collapsed,"[0.5178070068359375, 349.65460205078125, 74.99467468261719, 453.4163818359375]",0.3806550502777099,"[37.75624084472656, 401.5354919433594]","[0.05899412631988525, 0.627399206161499]"
/content/tif_images/image_86.tif,0,36.240755337,36.115091898,collapsed,"[321.89276123046875, 118.24835205078125, 480.98370361328125, 246.14105224609375]",0.6424461007118225,"[401.438232421875, 182.1947021484375]","[0.6272472381591797, 0.2846792221069336]"
/content/tif_images/image_593.tif,3,36.210189068,36.160538323,collapsed,"[0.009918212890625, 145.00686645507812, 64.34687805175781, 220.65634155273438]",0.7640044689178467,"[32.17839813232422, 182.83160400390625]","[0.05027874708175659, 0.2856743812561035]"
/content/tif_images/image_593.tif,7,36.210008861,36.16086382,collapsed,"[90.63346862792969, 202.51028442382812, 160.22117614746094, 298.203125]",0.6617666482925415,"[125.42732238769531, 250.35670471191406]","[0.19598019123077393, 0.3911823511123657]"
/content/tif_images/image_593.tif,9,36.210539526,36.160860626,collapsed,"[83.61672973632812, 12.154792785644531, 165.40782165527344, 90.87039184570312]",0.5437406897544861,"[124.51227569580078, 51.51259231567383]","[0.19455043077468873, 0.08048842549324035]"
/content/tif_images/image_593.tif,10,36.209968693,36.160501789,collapsed,"[0.0, 235.75933837890625, 43.42405700683594, 295.0565185546875]",0.3466999232769012,"[21.71202850341797, 265.4079284667969]","[0.03392504453659058, 0.4146998882293701]"
/content/tif_images/image_591.tif,12,36.210177585,36.157669737,collapsed,"[405.0539855957031, 105.80347442626953, 502.3692321777344, 191.2755126953125]",0.75325608253479,"[453.71160888671875, 148.53949356079102]","[0.708924388885498, 0.23209295868873597]"
/content/tif_images/image_591.tif,15,36.208988814,36.156195709,collapsed,"[0.0, 554.2247314453125, 62.85907745361328, 633.7364501953125]",0.7086796164512634,"[31.42953872680664, 593.9805908203125]","[0.049108654260635376, 0.9280946731567383]"
/content/tif_images/image_591.tif,25,36.209667693,36.157760046,collapsed,"[434.77777099609375, 294.51934814453125, 524.3892822265625, 384.67999267578125]",0.5449298024177551,"[479.5835266113281, 339.59967041015625]","[0.7493492603302002, 0.5306244850158691]"
/content/tif_images/image_591.tif,26,36.21037426,36.157181993,collapsed,"[264.9914245605469, 46.29713439941406, 362.9722595214844, 103.39071655273438]",0.4895996153354645,"[313.9818420410156, 74.84392547607422]","[0.4905966281890869, 0.11694363355636597]"
/content/tif_images/image_591.tif,30,36.210400373,36.157177731,collapsed,"[265.2235107421875, 44.79408645629883, 360.2984619140625, 85.32484436035156]",0.2969583868980407,"[312.760986328125, 65.0594654083252]","[0.4886890411376953, 0.10165541470050812]"
/content/tif_images/image_643.tif,10,36.206485333,36.152217942,collapsed,"[60.14693832397461, 126.43667602539062, 137.49240112304688, 224.24490356445312]",0.6224326491355896,"[98.81966972351074, 175.34078979492188]","[0.15440573394298554, 0.2739699840545654]"
/content/tif_images/image_643.tif,11,36.205537923,36.153691057,collapsed,"[484.4927062988281, 490.2500305175781, 557.18701171875, 570.850341796875]",0.5764197111129761,"[520.8398590087891, 530.5501861572266]","[0.8138122797012329, 0.8289846658706665]"
/content/tif_images/image_643.tif,17,36.206663213,36.151945667,collapsed,"[0.13959503173828125, 61.19930648803711, 41.496185302734375, 156.09823608398438]",0.3713574409484863,"[20.817890167236328, 108.64877128601074]","[0.03252795338630676, 0.1697637051343918]"
/content/tif_images/image_643.tif,18,36.206027046,36.153599292,collapsed,"[460.5975341796875, 306.4756774902344, 528.50439453125, 387.8539123535156]",0.2688656747341156,"[494.55096435546875, 347.164794921875]","[0.77273588180542, 0.5424449920654297]"
/content/tif_images/image_644.tif,0,36.205382895,36.154700584,collapsed,"[141.5518798828125, 575.8359375, 235.21981811523438, 639.79296875]",0.8509262800216675,"[188.38584899902344, 607.814453125]","[0.2943528890609741, 0.9497100830078125]"
/content/tif_images/image_644.tif,1,36.205776524,36.155575392,collapsed,"[398.3072509765625, 423.67352294921875, 479.6971435546875, 496.96453857421875]",0.7807003259658813,"[439.002197265625, 460.31903076171875]","[0.685940933227539, 0.7192484855651855]"
/content/tif_images/image_644.tif,11,36.206843796,36.155670662,collapsed,"[417.8004150390625, 15.165908813476562, 514.7901611328125, 105.64276123046875]",0.6107444167137146,"[466.2952880859375, 60.404335021972656]","[0.7285863876342773, 0.09438177347183227]"
/content/tif_images/image_644.tif,25,36.205373871,36.155891875,collapsed,"[486.89630126953125, 582.89697265625, 572.4411010742188, 639.4951171875]",0.3043824136257171,"[529.668701171875, 611.196044921875]","[0.8276073455810546, 0.9549938201904297]"
/content/tif_images/image_644.tif,26,36.205957884,36.155215812,collapsed,"[304.42449951171875, 357.99981689453125, 367.55389404296875, 426.72442626953125]",0.2733041942119598,"[335.98919677734375, 392.36212158203125]","[0.5249831199645996, 0.6130658149719238]"
/content/tif_images/image_644.tif,27,36.205543392,36.156051852,collapsed,"[534.983154296875, 507.90362548828125, 616.015380859375, 587.4469604492188]",0.2650063037872314,"[575.499267578125, 547.67529296875]","[0.8992176055908203, 0.8557426452636718]"
